Country,Year,Manufacturer,EV_Sales_(USD),Charging_Stations,EV_Market_Share(%),Total_Vehicles_Sold,EV_Type,GDP_per_Capita,Govt_Incentives
China,2015,BMW,16295.0,870.0,6.32,94115.0,BEV,55886.0,NO
France,2018,Chevrolet,25153.790504451037,476.0,3.9,75377.24470820969,HEV,45131.0,YES
Germany,2021,Hyundai,16523.0,140.0,1.6,18292.0,PHEV,60735.0,NO
Usa,2022,Chevrolet,2933.0,1194.0,9.82,32626.0,BEV,72932.0,YES
Usa,2018,BMW,27980.0,484.0,18.74,47411.0,BEV,3747.0,NO
India,2016,Ford,689.0,2744.0,18.93,69124.0,HEV,57886.0,YES
Japan,2017,BMW,4390.0,656.0,5.95,85428.0,BEV,11627.0,NO
Germany,2023,Renault,9292.0,2373.0,17.34,53293.0,BEV,77552.0,YES
India,2021,Volkswagen,25153.790504451037,2566.0,25.16,75377.24470820969,PHEV,36920.0,YES
India,2023,Ford,27031.0,1595.0,20.21,47488.0,BEV,67557.0,YES
China,2020,BMW,12153.0,2623.0,16.85,53910.0,BEV,10692.0,YES
Germany,2017,Renault,46258.0,171.0,12.46,79864.0,HEV,12534.0,NO
Norway,2022,Chevrolet,29627.0,3808.0,16.1,120416.0,PHEV,56591.0,NO
China,2015,Kia,9071.0,502.0,5.09,61285.0,HEV,62228.0,NO
China,2022,Chevrolet,49716.0,2578.0,23.4,118279.0,BEV,3695.0,NO
France,2021,Tesla,48690.0,401.0,22.14,62356.0,BEV,39660.0,NO
Canada,2022,Volkswagen,4061.0,2288.0,19.88,57312.0,BEV,23662.0,YES
Canada,2017,Tesla,8892.0,4885.0,10.6,99027.0,HEV,36222.0,YES
Netherlands,2024,Tesla,12337.0,814.0,22.16,76672.0,HEV,11965.0,YES
India,2022,Hyundai,25153.790504451037,1580.0,14.69,75377.24470820969,BEV,9110.0,YES
China,2018,Hyundai,14273.0,2700.0,23.06,114079.0,PHEV,7910.0,YES
India,2016,Volkswagen,45953.0,880.0,2.17,47159.0,PHEV,24419.0,YES
India,2017,Renault,15320.0,1688.0,22.91,50147.0,HEV,56820.0,NO
Netherlands,2023,Volkswagen,16698.0,1732.0,21.15,39997.0,PHEV,44585.0,YES
China,2020,Chevrolet,44189.0,1607.0,19.37,47882.0,PHEV,70163.0,NO
India,2018,Nissan,10730.0,3312.0,27.3,41810.0,BEV,67842.0,YES
Canada,2020,Tesla,7276.0,2685.0,11.22,17750.0,BEV,59053.0,NO
France,2020,Kia,33062.0,4789.0,8.08,107592.0,BEV,62087.0,YES
Norway,2021,BMW,30803.0,1505.0,21.39,86187.0,HEV,52005.0,YES
Usa,2019,BMW,47076.0,4669.0,8.16,113394.0,BEV,24664.0,NO
Usa,2015,Nissan,29173.0,4747.0,12.92,31027.0,PHEV,39623.0,NO
Usa,2016,Kia,7892.0,3484.0,20.74,95984.0,BEV,51859.0,YES
Canada,2023,Ford,39059.0,1743.0,8.02,110526.0,PHEV,53662.0,YES
Japan,2022,BMW,33470.0,3265.0,7.89,59812.0,BEV,38157.0,NO
India,2020,Hyundai,2827.0,2941.0,29.52,92872.0,HEV,35698.0,NO
Norway,2019,Kia,44857.0,2521.0,2.18,95668.0,PHEV,3811.0,YES
Norway,2021,Volkswagen,47511.0,1379.0,15.85,59922.0,PHEV,3911.0,YES
Japan,2017,Tesla,2234.0,1853.0,28.28,87113.0,PHEV,72295.0,NO
Netherlands,2017,Nissan,2302.0,4071.0,21.18,19948.0,BEV,47843.0,YES
China,2017,BMW,31565.0,633.0,17.1,109936.0,BEV,3049.0,NO
France,2016,BMW,32116.0,3733.0,17.19,62971.0,HEV,62434.0,NO
Norway,2015,Kia,7658.0,2066.0,9.09,51300.0,PHEV,16151.0,NO
India,2024,Chevrolet,1654.0,4509.0,26.73,61694.0,PHEV,13183.0,YES
Usa,2016,BMW,38860.0,108.0,29.24,108357.0,BEV,47975.0,YES
Norway,2020,Renault,21857.0,4443.0,15.08,83992.0,PHEV,51108.0,NO
India,2024,Chevrolet,47260.0,4077.0,21.65,71588.0,HEV,4987.0,YES
Usa,2015,Chevrolet,22899.0,1228.0,20.07,67963.0,PHEV,71091.0,YES
Norway,2017,Tesla,42414.0,4575.0,8.69,50307.0,PHEV,48333.0,NO
Germany,2024,BMW,3936.0,572.0,26.87,24674.0,BEV,31746.0,NO
Japan,2019,Ford,49877.0,4903.0,19.71,90667.0,PHEV,6600.0,NO
China,2017,Nissan,29624.0,3077.0,21.95,76338.0,BEV,57835.0,YES
Japan,2016,Nissan,37910.0,3130.0,2.26,95401.0,PHEV,19589.0,YES
India,2017,BYD,43984.0,1079.0,27.53,92186.0,BEV,33635.0,YES
Netherlands,2024,Tesla,31716.0,311.0,29.03,98951.0,HEV,55240.0,NO
Netherlands,2021,Renault,690.0,2310.0,12.17,7792.0,BEV,51336.0,NO
Uk,2023,Tesla,20278.0,137.0,11.81,54023.0,PHEV,24093.0,YES
Uk,2015,Nissan,1069.0,1905.0,3.04,75060.0,HEV,5014.0,YES
Japan,2016,Tesla,11593.0,1696.0,5.06,94667.0,HEV,11729.0,YES
China,2022,BYD,34677.0,4067.0,22.48,113746.0,HEV,55748.0,NO
Canada,2017,Kia,6301.0,2816.0,13.17,58294.0,BEV,30592.0,NO
India,2015,BMW,11147.0,534.0,3.37,102059.0,HEV,71316.0,YES
Canada,2021,Renault,2868.0,3857.0,21.36,73899.0,PHEV,77429.0,NO
Uk,2021,Volkswagen,26047.0,1176.0,11.89,105704.0,PHEV,11966.0,NO
France,2016,Kia,30249.0,2501.0,10.47,111384.0,BEV,20508.0,YES
India,2020,Hyundai,3551.0,14.0,14.26,58572.0,PHEV,67412.0,YES
France,2022,Ford,32593.0,4152.0,21.29,106208.0,BEV,74523.0,NO
Germany,2016,Renault,40067.0,4374.0,29.12,124680.0,PHEV,74847.0,YES
Japan,2016,Nissan,17714.0,3685.0,22.58,44659.0,PHEV,33217.0,NO
Usa,2024,Renault,8808.0,2848.0,13.42,84548.0,PHEV,67617.0,YES
Germany,2023,Hyundai,5737.0,569.0,6.3,63293.0,HEV,4343.0,YES
China,2022,BYD,14000.0,4080.0,20.06,31964.0,BEV,60638.0,YES
Usa,2019,Chevrolet,8630.0,3157.0,17.42,78672.0,BEV,14284.0,YES
Usa,2015,BMW,9935.0,3128.0,2.18,106916.0,PHEV,79781.0,YES
Germany,2021,BYD,29624.0,2969.0,3.84,65871.0,PHEV,63752.0,NO
China,2020,Chevrolet,37720.0,2080.0,2.39,118325.0,HEV,69385.0,NO
Netherlands,2015,Tesla,40658.0,3740.0,15.59,101818.0,PHEV,42975.0,NO
France,2020,Volkswagen,25153.790504451037,1358.0,20.83,75377.24470820969,HEV,28663.0,NO
Norway,2023,Ford,1351.0,1697.0,20.64,14289.0,BEV,36195.0,YES
Usa,2015,Renault,26644.0,4010.0,24.52,121254.0,PHEV,39304.0,YES
India,2024,Ford,46747.0,3923.0,6.99,68511.0,HEV,39494.0,NO
Canada,2018,Kia,3873.0,3979.0,2.13,32223.0,PHEV,26351.0,YES
Canada,2023,Hyundai,917.0,124.0,9.17,5184.0,HEV,39513.0,YES
Norway,2016,Ford,26592.0,3156.0,26.45,61088.0,HEV,61692.0,YES
India,2020,Hyundai,19388.0,2977.0,24.4,103430.0,BEV,18955.0,YES
Uk,2021,Renault,38341.0,2153.0,10.88,46698.0,PHEV,33479.0,YES
Usa,2016,BMW,45311.0,3450.0,20.72,89597.0,PHEV,69450.0,YES
Netherlands,2022,Chevrolet,21852.0,3962.0,15.65,69811.0,HEV,1728.0,NO
India,2020,BYD,1198.0,405.0,28.8,26664.0,BEV,37939.0,YES
China,2021,Tesla,25153.790504451037,4370.0,10.26,75377.24470820969,PHEV,52934.0,NO
Germany,2018,BYD,22472.0,3646.0,23.96,50664.0,BEV,2062.0,NO
Japan,2024,Ford,19040.0,2992.0,29.88,29388.0,PHEV,24714.0,YES
Japan,2019,BMW,38602.0,742.0,11.18,46403.0,HEV,73267.0,NO
China,2024,Ford,48636.0,963.0,18.93,126688.0,HEV,45261.0,NO
France,2020,Ford,2042.0,1201.0,3.11,96147.0,PHEV,20065.0,YES
France,2022,Renault,18424.0,3246.0,7.76,47719.0,HEV,14807.0,YES
Norway,2016,Hyundai,42848.0,1866.0,26.53,135640.0,BEV,58854.0,YES
Netherlands,2017,Hyundai,40762.0,4322.0,18.16,77671.0,PHEV,20870.0,YES
Norway,2017,Chevrolet,35078.0,2933.0,17.19,61367.0,BEV,56129.0,NO
France,2018,Volkswagen,28678.0,4144.0,13.6,115866.0,BEV,5748.0,YES
Netherlands,2017,Ford,21733.0,1253.0,17.57,53088.0,PHEV,56771.0,NO
France,2022,Ford,13616.0,904.0,19.83,66840.0,PHEV,40298.0,NO
Netherlands,2022,Renault,43456.0,4295.0,12.61,72472.0,PHEV,24960.0,YES
Japan,2020,Chevrolet,34091.0,938.0,7.48,102732.0,BEV,37395.0,NO
Uk,2016,Nissan,46240.0,1862.0,10.36,67799.0,PHEV,62642.0,NO
Usa,2020,BYD,11503.0,1260.0,21.17,84229.0,HEV,18640.0,NO
Netherlands,2015,BYD,38913.0,3496.0,29.88,108779.0,BEV,20087.0,YES
France,2017,BMW,25153.790504451037,367.0,14.21,75377.24470820969,PHEV,67203.0,YES
Canada,2023,Chevrolet,30203.0,1155.0,6.46,92732.0,HEV,32921.0,YES
China,2020,Nissan,33807.0,2789.0,11.45,39642.0,HEV,21159.0,YES
Germany,2022,Renault,39310.0,2518.0,20.86,123154.0,HEV,28532.0,NO
Norway,2019,BYD,49907.0,4814.0,18.79,116452.0,PHEV,59141.0,NO
Canada,2019,BYD,24293.0,4982.0,5.78,26308.0,HEV,62813.0,YES
Norway,2020,Kia,25153.790504451037,4794.0,25.31,75377.24470820969,HEV,19017.0,YES
Japan,2018,Ford,41443.0,4623.0,21.06,102543.0,PHEV,10860.0,NO
China,2020,Hyundai,39257.0,1470.0,17.97,109429.0,HEV,11916.0,NO
China,2019,Kia,39265.0,2058.0,28.67,57365.0,HEV,58091.0,NO
Japan,2022,Chevrolet,22449.0,4554.0,20.48,115642.0,PHEV,37187.0,NO
Usa,2016,Chevrolet,47698.0,1584.0,20.48,106715.0,BEV,62877.0,YES
India,2018,Chevrolet,43625.0,780.0,16.08,81756.0,PHEV,43944.0,YES
Usa,2022,Chevrolet,43308.0,4729.0,14.92,59562.0,PHEV,45238.0,NO
Japan,2021,Renault,1752.0,3991.0,21.42,56434.0,PHEV,60494.0,YES
Norway,2023,Chevrolet,16281.0,4869.0,29.43,72674.0,BEV,74553.0,NO
Netherlands,2021,Nissan,7441.0,1368.0,13.69,70327.0,BEV,76745.0,YES
Japan,2015,BYD,18215.0,4354.0,15.91,116454.0,PHEV,43318.0,NO
Japan,2019,Chevrolet,5137.0,4864.0,16.18,49225.0,BEV,40811.0,YES
Canada,2018,Hyundai,49789.0,3482.0,15.27,70752.0,HEV,56123.0,YES
China,2021,Hyundai,37432.0,2603.0,19.0,44001.0,PHEV,70836.0,YES
Norway,2022,Chevrolet,39537.0,3828.0,17.81,85539.0,PHEV,7254.0,NO
India,2024,Hyundai,17644.0,3455.0,21.23,76887.0,HEV,42240.0,YES
Uk,2024,BMW,18771.0,3276.0,15.94,95468.0,HEV,29732.0,YES
Netherlands,2022,Volkswagen,11814.0,4709.0,11.08,35875.0,HEV,40749.0,YES
France,2015,Renault,39644.0,533.0,6.98,92389.0,PHEV,24624.0,NO
Usa,2017,Chevrolet,23821.0,2306.0,14.95,68042.0,BEV,11478.0,NO
Norway,2019,Ford,45662.0,2888.0,11.94,51094.0,PHEV,65291.0,YES
Japan,2020,Renault,14068.0,2065.0,22.7,65496.0,PHEV,1302.0,YES
Norway,2017,BMW,17522.0,65.0,15.05,47221.0,BEV,74686.0,NO
India,2023,BMW,2625.0,3297.0,21.89,8246.0,BEV,16034.0,NO
Uk,2020,Renault,46891.0,4988.0,21.69,65921.0,BEV,56658.0,NO
India,2020,BMW,39138.0,1541.0,4.11,129007.0,HEV,35674.0,YES
Germany,2015,Kia,36354.0,4590.0,6.29,38416.0,PHEV,51448.0,NO
Norway,2019,Renault,30426.0,135.0,4.47,35022.0,HEV,7168.0,NO
