Country,Year,Manufacturer,EV_Sales_(USD),Charging_Stations,EV_Market_Share(%),Total_Vehicles_Sold,EV_Type,GDP_per_Capita,Govt_Incentives
China,2015,BMW,"$16,295 ",870,6.32,94115,BEV,55886,
France,2018,Chevrolet,,476,3.9,,HEV,45131,YES
Germany,2021,Hyundai,"$16,523 ",140,1.6,18292,PHEV,60735,
USA,2022,Chevrolet,"$2,933 ",1194,9.82,32626,BEV,72932,yes
USA,2018,BMW,"$27,980 ",484,18.74,47411,BEV,3747,No
India,2016,Ford,$689 ,2744,18.93,69124,HEV,57886,YES
USA,2018,Tesla,"$1,767 ",,18.18,14161,PHEV,70092,No
Japan,2017,BMW,"$4,390 ",656,5.95,85428,BEV,11627,no
Germany,2023,Renault,"$9,292 ",2373,17.34,53293,BEV,77552,YES
Japan,2023,BMW,"$24,397 ",,3.83,48880,HEV,49555,yes
India,2021,Volkswagen,,2566,25.16,,PHEV,36920,YES
India,2023,Ford,"$27,031 ",1595,20.21,47488,BEV,67557,Yes
China,2020,BMW,"$12,153 ",2623,16.85,53910,BEV,10692,Yes
Germany,2017,Renault,"$46,258 ",171,12.46,79864,HEV,12534,No
norway,2022,Chevrolet,"$29,627 ",3808,16.1,120416,PHEV,56591,No
USA,2018,BYD,"$24,776 ",,12.27,99841,BEV,10268,No
Netherlands,2022,Nissan,"$21,771 ",4003,,86475,PHEV,40099,no
China,2015,Kia,"$9,071 ",502,5.09,61285,HEV,62228,no
China,2022,Chevrolet,"$49,716 ",2578,23.4,118279,BEV,3695,No
France,2021,Tesla,"$48,690 ",401,22.14,62356,BEV,39660,no
Canada,2022,Volkswagen,"$4,061 ",2288,19.88,57312,BEV,23662,Yes
Canada,2017,Tesla,"$8,892 ",4885,10.6,99027,HEV,36222,Yes
Netherlands,2024,Tesla,"$12,337 ",814,22.16,76672,HEV,11965,yes
India,2022,Hyundai,,1580,14.69,,BEV,9110,YES
china,2018,Hyundai,"$14,273 ",2700,23.06,114079,PHEV,7910,YES
India,2016,Volkswagen,"$45,953 ",880,2.17,47159,PHEV,24419,yes
India,2023,Renault,"$49,202 ",873,,104470,PHEV,19141,Yes
India,2017,Renault,"$15,320 ",1688,22.91,50147,HEV,56820,No
Netherlands,2023,Volkswagen,"$16,698 ",1732,21.15,39997,PHEV,44585,yes
China,2020,Chevrolet,"$44,189 ",1607,19.37,47882,PHEV,70163,No
Norway,2021,Nissan,"$26,439 ",1991,16.64,53544,PHEV,,No
India,2018,Nissan,"$10,730 ",3312,27.3,41810,BEV,67842,yes
Canada,2020,Tesla,"$7,276 ",2685,11.22,17750,BEV,59053,
Norway,2021,Ford,"$22,459 ",4754,15.06,120963,HEV,,YES
France,2020,Kia,"$33,062 ",4789,8.08,107592,BEV,62087,yes
Norway,2021,BMW,"$30,803 ",1505,21.39,86187,HEV,52005,YES
USA,2019,BMW,"$47,076 ",4669,8.16,113394,BEV,24664,No
Germany,2016,BMW,"$2,136 ",3706,,96400,HEV,27736,yes
USA,2015,Nissan,"$29,173 ",4747,12.92,31027,PHEV,39623,no
USA,2016,Kia,"$7,892 ",3484,20.74,95984,BEV,51859,Yes
Canada,2023,Ford,"$39,059 ",1743,8.02,110526,PHEV,53662,YES
Japan,2022,BMW,"$33,470 ",3265,7.89,59812,BEV,38157,no
India,2020,Hyundai,"$2,827 ",2941,29.52,92872,HEV,35698,no
UK,2015,Nissan Inc,"$45,042 ",618,5.37,132244,PHEV,,YES
Norway,2019,Kia,"$44,857 ",2521,2.18,95668,PHEV,3811,yes
Norway,2021,Volkswagen,"$47,511 ",1379,15.85,59922,PHEV,3911,Yes
Japan,2017,Tesla,"$2,234 ",1853,28.28,87113,PHEV,72295,no
USA,2023,Tesla,"$23,578 ",,28.17,62082,PHEV,,
Netherlands,2017,Nissan,"$2,302 ",4071,21.18,19948,BEV,47843,yes
China,2017,BMW,"$31,565 ",633,17.1,109936,BEV,3049,No
France,2016,BMW,"$32,116 ",3733,17.19,62971,HEV,62434,no
Norway,2015,Kia,"$7,658 ",2066,9.09,51300,PHEV,16151,no
India,2024,Chevrolet,"$1,654 ",4509,26.73,61694,PHEV,13183,Yes
Japan,2024,Ford,"$29,799 ",,3.44,63510,HEV,6539,yes
India,2023,Tesla,"$42,905 ",,20.4,92259,HEV,3557,no
USA,2016,BMW,"$38,860 ",108,29.24,108357,BEV,47975,yes
Norway,2020,Renault,"$21,857 ",4443,15.08,83992,PHEV,51108,No
India,2024,Chevrolet,"$47,260 ",4077,21.65,71588,HEV,4987,Yes
USA,2015,Chevrolet,"$22,899 ",1228,20.07,67963,PHEV,71091,YES
Norway,2017,Tesla,"$42,414 ",4575,8.69,50307,PHEV,48333,
Germany,2024,BMW,"$3,936 ",572,26.87,24674,BEV,31746,No
Japan,2019,Ford,"$49,877 ",4903,19.71,90667,PHEV,6600,No
China,2017,Nissan,"$29,624 ",3077,21.95,76338,BEV,57835,Yes
Japan,2016,Nissan,"$37,910 ",3130,2.26,95401,PHEV,19589,YES
India,2017,BYD,"$43,984 ",1079,27.53,92186,BEV,33635,Yes
UK,2019,Chevrolet,"$34,328 ",,,54039,HEV,4420,yes
Netherlands,2024,Tesla,"$31,716 ",311,29.03,98951,HEV,55240,no
Netherlands,2021,Renault,$690 ,2310,12.17,7792,BEV,51336,no
UK,2023,Tesla,"$20,278 ",137,11.81,54023,PHEV,24093,Yes
UK,2015,Nissan,"$1,069 ",1905,3.04,75060,HEV,5014,YES
Japan,2016,Tesla,"$11,593 ",1696,5.06,94667,HEV,11729,Yes
China,2022,BYD,"$34,677 ",4067,22.48,113746,HEV,55748,no
Canada,2017,Kia,"$6,301 ",2816,13.17,58294,BEV,30592,no
India,2015,BMW,"$11,147 ",534,3.37,102059,HEV,71316,YES
Canada,2021,Renault,"$2,868 ",3857,21.36,73899,PHEV,77429,no
UK,2021,Volkswagen,"$26,047 ",1176,11.89,105704,PHEV,11966,no
USA,2017,Kia,"$34,121 ",,10.52,88042,HEV,50726,no
Canada,2021,Hyundai,"$23,177 ",1725,2.13,77183,HEV,,
France,2016,Kia,"$30,249 ",2501,10.47,111384,BEV,20508,Yes
India,2020,Hyundai,"$3,551 ",14,14.26,58572,PHEV,67412,Yes
France,2022,Ford,"$32,593 ",4152,21.29,106208,BEV,74523,no
Germany,2016,Renault,"$40,067 ",4374,29.12,124680,PHEV,74847,yes
Japan,2016,Nissan,"$17,714 ",3685,22.58,44659,PHEV,33217,no
USA,2024,Renault,"$8,808 ",2848,13.42,84548,PHEV,67617,yes
